,Latitude,Longitude,City,Country,Major_Geo_Region,ISO3,LCD_grouping,WHO_region,HDI_level,Koppen_climate_region,Peak_NDVI_2015,PopWeight_Peak_NDVI_2015,Greenness_Level_2015,Peak_NDVI_2020,PopWeight_Peak_NDVI_2020,Greenness_Level_2020,Peak_NDVI_2021,PopWeight_Peak_NDVI_2021,Greenness_Level_2021,Peak_NDVI_2022,PopWeight_Peak_NDVI_2022,Greenness_Level_2022,Peak_NDVI_2023,PopWeight_Peak_NDVI_2023,Greenness_Level_2023
824,-23.23182429,-45.89685271,Sao Jose dos Campos,Brazil,Latin America and the Caribbean,BRA,South and Central America,Americas,High,Tropical,0.41266832,0.342334248,Low,0.425745703,0.35336966,Low,0.420374444,0.350686889,Low,0.432481823,0.358736263,Low,0.432483051,0.358307324,Low
825,-2.546535097,-44.23935975,Sao Luis,Brazil,Latin America and the Caribbean,BRA,South and Central America,Americas,High,NA,0.402608505,0.340643326,Low,0.403686863,0.342132926,Low,0.390900628,0.327458316,Low,0.373335931,0.312885773,Low,0.409352752,0.347080541,Low
826,-23.57275267,-46.59943039,Sao Paulo,Brazil,Latin America and the Caribbean,BRA,South and Central America,Americas,High,NA,0.320998432,0.256425416,Very Low,0.313608701,0.249418084,Very Low,0.275707013,0.213485292,Very Low,0.325191396,0.263697011,Very Low,0.331339575,0.26985754,Very Low
827,43.07052122,141.3738144,Sapporo,Japan,Asia,JPN,Asia,Western Pacific,Very High,Continental,0.347548845,0.338791372,Low,0.35447536,0.3474825,Low,0.345062063,0.337550785,Low,0.347808239,0.34014901,Low,0.348402905,0.341233138,Low
828,43.8552841,18.35258807,Sarajevo,Bosnia and Herzegovina,Europe,BIH,Europe,Europe,High,Continental,0.511792528,0.514874881,High,0.549126943,0.549097295,High,0.526927646,0.531332092,High,0.495107755,0.504486082,High,0.553780945,0.557442613,High
829,51.54189642,45.96900846,Saratov,Russia,Europe,RUS,Europe,Europe,Very High,Continental,0.414753615,0.422881348,Moderate,0.425750925,0.433709149,Moderate,0.427620823,0.435744615,Moderate,0.435486284,0.444036268,Moderate,0.42631934,0.434088269,Moderate
830,32.06557582,72.6774595,Sargodha,Pakistan,Asia,PAK,Asia,Eastern Mediterranean,Low,Arid,0.281616975,0.282653179,Very Low,0.291531884,0.292784891,Very Low,0.271755448,0.27219607,Very Low,0.285014582,0.285592771,Very Low,0.279850611,0.286882674,Very Low
831,24.57705885,80.83382425,Satna,India,Asia,IND,Asia,South-East Asia,Medium,Temperate,0.357281801,0.358068298,Low,0.411625007,0.413949367,Moderate,0.381898328,0.383395736,Low,0.356266167,0.356679776,Low,0.381898328,0.367587319,Low
832,47.49542197,-122.2998149,Seattle,United States,Northern America,USA,Northern America,Americas,Very High,Temperate,0.418117981,0.430620219,Moderate,0.421310023,0.435196926,Moderate,0.418211203,0.431794034,Moderate,0.422954924,0.438089677,Moderate,0.409772158,0.424431813,Moderate
833,23.62724211,58.22286952,Seeb,Oman,Asia,OMN,Asia,Eastern Mediterranean,Very High,Arid,0.125993451,0.12666269,Exceptionally Low,0.130981374,0.131542928,Exceptionally Low,0.123515415,0.123960822,Exceptionally Low,0.135432034,0.135981821,Exceptionally Low,0.125137526,0.125736632,Exceptionally Low
834,-6.93358473,110.1633366,Semarang,Indonesia,Asia,IDN,Asia,South-East Asia,High,Tropical,0.489452118,0.446341726,Moderate,0.461051027,0.434181455,Moderate,0.432304891,0.399284031,Low,0.444211413,0.417406058,Moderate,0.439810373,0.40620501,Moderate
835,38.27557021,140.9104717,Sendai,Japan,Asia,JPN,Asia,Western Pacific,Very High,Temperate,0.360313753,0.353029094,Low,0.372877838,0.364615509,Low,0.361488337,0.357182001,Low,0.322623745,0.325613384,Low,0.375741326,0.369982336,Low
836,37.47555477,126.9243735,Seoul,Republic of Korea,Asia,KOR,Asia,Western Pacific,Very High,Continental,0.382094724,0.366657679,Low,0.382381927,0.363797331,Low,0.374365873,0.34939476,Low,0.359459586,0.332260387,Low,0.409440802,0.390812404,Low
837,13.41248753,-16.69039456,Serrekunda,Gambia,Africa,GMB,Africa,Africa,Low,Tropical,0.396596763,0.374169994,Low,0.338003859,0.328387935,Low,0.310638458,0.303230289,Low,0.324652951,0.316325134,Low,0.310638458,0.322428348,Low
838,37.37619005,-5.986844189,Seville,Spain,Europe,ESP,Europe,Europe,Very High,Temperate,0.296412155,0.284834551,Very Low,0.2915651,0.28578323,Very Low,0.304737718,0.292047708,Very Low,0.307876303,0.2987939,Very Low,0.254632584,0.251617319,Very Low
839,34.76501636,10.74346414,Sfax,Tunisia,Africa,TUN,Africa,Eastern Mediterranean,High,Arid,0.174845202,0.160736705,Exceptionally Low,0.192558113,0.171924953,Exceptionally Low,0.1678574,0.156653309,Exceptionally Low,0.160416034,0.14890255,Exceptionally Low,0.162560162,0.150813633,Exceptionally Low
